Date,Time,Open,High,Low,Close,Volume
2017.09.08,0:00,1.20214,1.20921,1.20145,1.2033,148339
2017.09.11,0:00,1.20159,1.20292,1.19476,1.19521,99531
2017.09.12,0:00,1.19519,1.19781,1.19261,1.19661,106169
2017.09.13,0:00,1.1966,1.19945,1.18728,1.18848,107449
2017.09.14,0:00,1.18848,1.19217,1.18374,1.19183,117512
2017.09.15,0:00,1.19184,1.19869,1.19009,1.19446,126313
2017.09.18,0:00,1.19191,1.19692,1.19148,1.19525,134140
2017.09.19,0:00,1.19525,1.20064,1.1949,1.19937,123059
2017.09.20,0:00,1.19937,1.20334,1.18611,1.18922,167681
2017.09.21,0:00,1.18899,1.19535,1.18654,1.19408,161145
2017.09.22,0:00,1.19407,1.20043,1.1936,1.19499,151657
2017.09.25,0:00,1.18979,1.19364,1.18319,1.18463,151853
2017.09.26,0:00,1.18466,1.18613,1.17573,1.17926,161149
2017.09.27,0:00,1.17923,1.17951,1.17169,1.1744,158624
2017.09.28,0:00,1.1744,1.18038,1.17209,1.17858,157202
2017.09.29,0:00,1.17848,1.18322,1.17724,1.18135,143847
2017.10.02,0:00,1.17893,1.18149,1.17299,1.17319,137078
2017.10.03,0:00,1.17305,1.17733,1.16959,1.17435,134472
2017.10.04,0:00,1.17435,1.17875,1.17353,1.17585,135209
2017.10.05,0:00,1.17593,1.17787,1.16989,1.17107,132887
2017.10.06,0:00,1.17106,1.17386,1.16692,1.17314,151852
2017.10.09,0:00,1.1728,1.17559,1.17193,1.17395,87301
2017.10.10,0:00,1.17395,1.18252,1.17381,1.18073,130968
2017.10.11,0:00,1.18073,1.18689,1.1795,1.18573,142259
2017.10.12,0:00,1.18573,1.18795,1.18267,1.18286,130541
2017.10.13,0:00,1.18281,1.18748,1.1805,1.1818,139078
2017.10.16,0:00,1.18105,1.18193,1.17802,1.1795,115819
2017.10.17,0:00,1.17945,1.17998,1.17358,1.1765,121734
2017.10.18,0:00,1.1765,1.18052,1.173,1.17867,123102
2017.10.19,0:00,1.17858,1.18577,1.17678,1.18519,149786
2017.10.20,0:00,1.18511,1.18577,1.17623,1.17799,149995
2017.10.23,0:00,1.17643,1.17772,1.17247,1.17484,122094
2017.10.24,0:00,1.17477,1.17926,1.17425,1.17601,127698
2017.10.25,0:00,1.17598,1.18175,1.17528,1.18125,155514
2017.10.26,0:00,1.18109,1.18366,1.16402,1.16503,164434
2017.10.27,0:00,1.16495,1.1657,1.15742,1.16062,164899
2017.10.30,0:00,1.1604,1.16577,1.15935,1.16491,130934
2017.10.31,0:00,1.16491,1.16612,1.16246,1.16455,123522
2017.11.01,0:00,1.16455,1.16571,1.1606,1.1622,132085
2017.11.02,0:00,1.16222,1.16872,1.16131,1.1656,148363
2017.11.03,0:00,1.16559,1.16676,1.16398,1.164,35765
